#,Latency steering,Period steering,Latency velocity,Period velocity
7058,-1,-1,1733414994950007808,146572573
7059,32868096,145595033,-1,-1
7060,-1,-1,1733414995001332480,101324247
7061,31668224,101541284,-1,-1
7062,-1,-1,1733414994979687936,28355206
7063,27021312,31224844,-1,-1
7064,-1,-1,1733414995048463616,168775748
7065,34404608,167166553,-1,-1
7066,-1,-1,1733414995049449472,50985595
7067,43811840,49442799,-1,-1
7068,-1,-1,1733414995111249152,111799555
7069,30983936,111977186,-1,-1
7070,-1,-1,1733414995160819456,249569969
7071,33264896,249772959,-1,-1
7072,-1,-1,1733414995197600768,186781268
7073,28723456,186408228,-1,-1
7074,-1,-1,1733414995202592768,54991717
7075,24767488,57809329,-1,-1
