#,Latency steering,Period steering,Latency velocity,Period velocity
3743,41750016,177641483,-1,-1
3744,-1,-1,1733238055155445248,107746694
3745,40915456,112849109,-1,-1
3746,-1,-1,1733238055163912448,208466991
3747,30961152,200569100,-1,-1
3748,-1,-1,1733238055145433856,31521144
3749,37846528,42739779,-1,-1
3750,-1,-1,1733238055197934592,152500458
3751,45268736,145709995,-1,-1
3752,-1,-1,1733238055227514624,129579844
3753,36052224,129876352,-1,-1
3754,-1,-1,1733238055264572160,137057387
3755,30082048,130762587,-1,-1
3756,-1,-1,1733238055273088000,108515640
3757,33328640,107996757,-1,-1
3758,-1,-1,1733238055270456576,47368767
3759,30758144,49342746,-1,-1
3760,-1,-1,1733238055252783616,32326694
3761,38487296,43884948,-1,-1
3762,-1,-1,1733238055279036672,126253023
3763,43017216,117956171,-1,-1
3764,-1,-1,1733238055338626816,109589934
3765,41404160,115010370,-1,-1
3766,-1,-1,1733238055335815424,47188426
3767,30873344,38334835,-1,-1
3768,-1,-1,1733238055382215424,146399813
3769,35905024,149796441,-1,-1
3770,-1,-1,1733238055416301568,134085814
3771,34419712,129776498,-1,-1
3772,-1,-1,1733238055432676096,116374377
3773,31964160,118658979,-1,-1
3774,-1,-1,1733238055447343104,114666884
3775,19071744,113602334,-1,-1
3776,-1,-1,1733238055485333248,37990005
3777,36146176,41195365,-1,-1
3778,-1,-1,1733238055487695104,102361650
3779,33906432,98504408,-1,-1
3780,-1,-1,1733238055460163840,22468793
3781,16478208,22958160,-1,-1
3782,-1,-1,1733238055477566976,167402824
3783,40758528,179515734,-1,-1
3784,-1,-1,1733238055546977536,119410565
3785,33119744,109104068,-1,-1
3786,-1,-1,1733238055546960128,49982264
3787,32858624,47628535,-1,-1
3788,-1,-1,1733238055570550016,123589772
